Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
138,Mohammed Rafique / Mohammed-Rafique,in IND,MF,Mumbai City,26,1992,2,1,91,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
139,Mobashir Rahman / Mobashir-Rahman,in IND,MF,Jamshedpur,,,7,5,414,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
140,Asish Rai / Asish-Rai,in IND,DF,Hyderabad FC,20,1999,7,5,472,0,1,0,0,0,0,0.00,0.19,0.19,0.00,0.19,Matches
141,Vinit Rai / Vinit-Rai,in IND,MF,Delhi Dynamos,21,1997,8,8,574,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches
142,Mohamad Rakip / Mohamad-Rakip,in IND,DF,Kerala Blasters,19,2000,10,10,871,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
143,Jayesh Rane / Jayesh-Rane,in IND,FW,Kolkata,27,1991,9,6,478,0,2,0,0,1,0,0.00,0.38,0.38,0.00,0.38,Matches
144,Salam Ranjan Singh / Salam-Ranjan-Singh,in IND,DF,Kolkata,23,1995,3,3,270,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
145,Mandar Rao Dessai / Mandar-Rao-Dessai,in IND,MF,Goa,27,1992,11,11,964,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
146,Sumit Rathi / Sumit-Rathi,in IND,DF,Kolkata,19,1999,4,3,315,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
147,Princeton Rebello / Princeton-Rebello,in IND,MF,Goa,20,1999,5,0,20,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
148,Jairo Rodrigues / Jairo-Rodrigues,br BRA,DFGK,Kerala Blasters,26,1992,4,4,275,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
149,Lenny Rodrigues / Lenny-Rodrigues,in IND,MF,Goa,32,1987,11,11,929,2,0,0,0,2,0,0.19,0.00,0.19,0.19,0.19,Matches
150,Subhasish Roy Chowdhury / Subhasish-Roy-Chowdhury,in IND,GK,NorthEast Utd,32,1986,9,9,810,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
151,Eli Sabiá / Eli-Sabia,br BRA,DF,Chennaiyin,30,1988,8,8,719,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
152,Masih Saighani / Masih-Saighani,af AFG,MF,Chennaiyin,32,1986,6,5,355,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
153,Mohammad Sajid Dhot / Mohammad-Sajid-Dhot,in IND,DF,Delhi Dynamos,21,1997,1,0,5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
154,Shankar Sampingiraj / Shankar-Sampingiraj,in IND,DFMF,Hyderabad FC,24,1994,4,2,203,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
155,Shubham Sarangi / Shubham-Sarangi,in IND,FW,Delhi Dynamos,19,2000,10,10,850,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
156,André Schembri / Andre-Schembri,mt MLT,FWMF,Chennaiyin,33,1986,8,5,449,3,0,0,0,1,0,0.60,0.00,0.60,0.60,0.60,Matches
157,Albert Serrán / Albert-Serran,es ESP,DF,Bengaluru,35,1984,9,8,691,1,0,0,0,1,0,0.13,0.00,0.13,0.13,0.13,Matches
158,Gurpreet Singh Sandhu / Gurpreet-Singh-Sandhu,in IND,GK,Bengaluru,27,1992,11,11,990,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
159,Amrinder Singh / Amrinder-Singh,in IND,GK,Mumbai City,26,1993,11,11,990,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
